numero,descricao,situacao,estado_conservacao,campus.nome,valor_inicial,valor_liquido_contabil
213023,"tacômetro digital contato/foto, display: lcd 5 dígitos",ativo,,CAMPUS CAMPINA GRANDE,446.98,431.37
213024,"ESTUFA LABORATÓRIO A VÁCUO, CAPACIDADE 30 LITROS, TEMPERATURA DE 50° ATE 200°, DIMENSÕES  INTERNACIONAIS, MARCA LUMATEC.",ativo,,CAMPUS SOUSA,7799.0,7556.38
213025,"Máquina de soldar a ponto; máquina de solda inversora eletrônica; voltagem monofásico 220v, frequência 60hz; potência mínima 5100w, diâmetro do eletrodo 2,0 a 3,2mm, regulagem casta de amperagem 20 a 130a; isolação classe i. frequência 60hz.",ativo,,CAMPUS ITABAIANA,539.99,511.64
213026,"Máquina de soldar a ponto; máquina de solda inversora eletrônica; voltagem monofásico 220v, frequência 60hz; potência mínima 5100w, diâmetro do eletrodo 2,0 a 3,2mm, regulagem casta de amperagem 20 a 130a; isolação classe i. frequência 60hz.",ativo,,CAMPUS ITABAIANA,539.99,511.64
213027,"Máquina de soldar a ponto; máquina de solda inversora eletrônica; voltagem monofásico 220v, frequência 60hz; potência mínima 5100w, diâmetro do eletrodo 2,0 a 3,2mm, regulagem casta de amperagem 20 a 130a; isolação classe i. frequência 60hz.",ativo,,CAMPUS ITABAIANA,539.99,511.64
213028,"Máquina de soldar a ponto; máquina de solda inversora eletrônica; voltagem monofásico 220v, frequência 60hz; potência mínima 5100w, diâmetro do eletrodo 2,0 a 3,2mm, regulagem casta de amperagem 20 a 130a; isolação classe i. frequência 60hz.",ativo,,CAMPUS ITABAIANA,539.99,511.64
213029,"Máquina de soldar a ponto; máquina de solda inversora eletrônica; voltagem monofásico 220v, frequência 60hz; potência mínima 5100w, diâmetro do eletrodo 2,0 a 3,2mm, regulagem casta de amperagem 20 a 130a; isolação classe i. frequência 60hz.",ativo,,CAMPUS ITABAIANA,539.99,511.64
213030,"Máquina de soldar a ponto; máquina de solda inversora eletrônica; voltagem monofásico 220v, frequência 60hz; potência mínima 5100w, diâmetro do eletrodo 2,0 a 3,2mm, regulagem casta de amperagem 20 a 130a; isolação classe i. frequência 60hz.",ativo,,CAMPUS ITABAIANA,539.99,511.64
213031,"Máquina de soldar a ponto; máquina de solda inversora eletrônica; voltagem monofásico 220v, frequência 60hz; potência mínima 5100w, diâmetro do eletrodo 2,0 a 3,2mm, regulagem casta de amperagem 20 a 130a; isolação classe i. frequência 60hz.",ativo,,CAMPUS ITABAIANA,539.99,511.64
213032,"Máquina de soldar a ponto; máquina de solda inversora eletrônica; voltagem monofásico 220v, frequência 60hz; potência mínima 5100w, diâmetro do eletrodo 2,0 a 3,2mm, regulagem casta de amperagem 20 a 130a; isolação classe i. frequência 60hz.",ativo,,CAMPUS ITABAIANA,539.99,511.64
